ID,DateTime,Ticker,Open,High,Low,Close,RealVolume,Spread,TickVolume
2023.04.14 10:24:00-ABEV3,2023.04.14 10:24:00,ABEV3,14.58,14.6,14.56,14.56,27600,1,45
2023.04.14 10:24:00-ALPA4,2023.04.14 10:24:00,ALPA4,7.59,7.61,7.59,7.61,10600,1,25
2023.04.14 10:24:00-ALSO3,2023.04.14 10:24:00,ALSO3,18.35,18.35,18.31,18.31,700,1,5
2023.04.14 10:24:00-ARZZ3,2023.04.14 10:24:00,ARZZ3,66.95,67.0,66.83,66.83,500,4,5
2023.04.14 10:25:00-ASAI3,2023.04.14 10:25:00,ASAI3,13.56,13.56,13.56,13.56,100,2,1
2023.04.14 10:24:00-AZUL4,2023.04.14 10:24:00,AZUL4,11.7,11.71,11.7,11.7,58800,1,20
2023.04.14 10:24:00-B3SA3,2023.04.14 10:24:00,B3SA3,11.68,11.68,11.64,11.65,136500,1,97
2023.04.14 10:24:00-BBAS3,2023.04.14 10:24:00,BBAS3,42.37,42.39,42.32,42.32,20200,1,28
2023.04.14 10:24:00-BBDC3,2023.04.14 10:24:00,BBDC3,12.28,12.28,12.26,12.27,13300,1,9
2023.04.14 10:24:00-BBDC4,2023.04.14 10:24:00,BBDC4,13.68,13.69,13.66,13.67,18200,1,22
2023.04.14 10:24:00-BBSE3,2023.04.14 10:24:00,BBSE3,34.86,34.86,34.83,34.83,1100,1,5
2023.04.14 10:24:00-BEEF3,2023.04.14 10:24:00,BEEF3,9.35,9.35,9.34,9.35,68300,1,35
2023.04.14 10:24:00-BPAC11,2023.04.14 10:24:00,BPAC11,22.88,22.92,22.88,22.88,9500,1,12
2023.04.14 10:24:00-BPAN4,2023.04.14 10:24:00,BPAN4,5.46,5.47,5.45,5.45,3900,1,7
2023.04.14 10:24:00-BRAP4,2023.04.14 10:24:00,BRAP4,26.26,26.29,26.23,26.23,3600,2,14
2023.04.14 10:24:00-BRFS3,2023.04.14 10:24:00,BRFS3,6.12,6.13,6.1,6.11,41200,1,29
2023.04.14 10:24:00-BRKM5,2023.04.14 10:24:00,BRKM5,21.28,21.3,21.26,21.26,5600,2,16
2023.04.14 10:24:00-CASH3,2023.04.14 10:24:00,CASH3,0.94,0.95,0.94,0.94,7000,1,8
2023.04.14 10:24:00-CCRO3,2023.04.14 10:24:00,CCRO3,13.12,13.15,13.12,13.12,14500,1,17
2023.04.14 10:24:00-CIEL3,2023.04.14 10:24:00,CIEL3,4.92,4.93,4.91,4.92,47900,1,49
2023.04.14 10:24:00-CMIG4,2023.04.14 10:24:00,CMIG4,12.05,12.06,12.02,12.03,44000,1,89
2023.04.14 10:24:00-CMIN3,2023.04.14 10:24:00,CMIN3,4.72,4.72,4.7,4.7,29900,1,12
2023.04.14 10:24:00-COGN3,2023.04.14 10:24:00,COGN3,1.99,2.0,1.99,1.99,280500,1,9
2023.04.14 10:24:00-CPFE3,2023.04.14 10:24:00,CPFE3,33.43,33.43,33.3,33.3,3400,1,14
2023.04.14 10:24:00-CPLE6,2023.04.14 10:24:00,CPLE6,7.82,7.83,7.79,7.79,48400,1,20
2023.04.14 10:24:00-CRFB3,2023.04.14 10:24:00,CRFB3,11.25,11.26,11.23,11.23,5500,1,7
2023.04.13 16:54:00-CSAN3,2023.04.13 16:54:00,CSAN3,15.74,15.77,15.73,15.77,857000,1,191
2023.04.14 10:24:00-CSNA3,2023.04.14 10:24:00,CSNA3,14.57,14.6,14.54,14.54,50900,1,69
2023.04.14 10:24:00-CVCB3,2023.04.14 10:24:00,CVCB3,3.25,3.26,3.23,3.25,91000,1,17
2023.04.14 10:24:00-CYRE3,2023.04.14 10:24:00,CYRE3,15.57,15.57,15.51,15.52,18900,1,34
2023.04.14 10:24:00-DXCO3,2023.04.14 10:24:00,DXCO3,5.99,5.99,5.97,5.97,3800,1,11
2023.04.14 10:24:00-ECOR3,2023.04.14 10:24:00,ECOR3,6.25,6.25,6.23,6.23,55700,1,25
2023.04.14 10:24:00-EGIE3,2023.04.14 10:24:00,EGIE3,40.39,40.39,40.26,40.26,7200,1,21
2023.04.14 10:24:00-ELET3,2023.04.14 10:24:00,ELET3,34.53,34.55,34.5,34.55,35900,1,32
2023.04.14 10:24:00-ELET6,2023.04.14 10:24:00,ELET6,38.16,38.18,38.14,38.14,6800,1,16
2023.04.14 10:24:00-EMBR3,2023.04.14 10:24:00,EMBR3,20.52,20.54,20.5,20.51,25800,1,60
2023.04.14 10:24:00-ENBR3,2023.04.14 10:24:00,ENBR3,21.96,21.98,21.95,21.97,22700,2,28
2023.04.14 10:24:00-ENEV3,2023.04.14 10:24:00,ENEV3,11.49,11.49,11.46,11.46,3200,1,10
2023.04.14 10:24:00-ENGI11,2023.04.14 10:24:00,ENGI11,42.94,42.97,42.87,42.9,3800,1,21
2023.04.14 10:24:00-EQTL3,2023.04.14 10:24:00,EQTL3,28.45,28.46,28.39,28.39,10000,1,18
2023.04.14 10:24:00-EZTC3,2023.04.14 10:24:00,EZTC3,14.95,14.95,14.91,14.91,3000,1,20
