ID,DateTime,Ticker,Open,High,Low,Close,RealVolume,Spread,TickVolume
2023.04.14 10:12:00-ABEV3,2023.04.14 10:12:00,ABEV3,14.53,14.53,14.53,14.53,2900,1,28
2023.04.14 10:12:00-ALPA4,2023.04.14 10:12:00,ALPA4,7.8100000000000005,7.8100000000000005,7.77,7.77,40400,1,14
2023.04.14 10:12:00-ALSO3,2023.04.14 10:12:00,ALSO3,18.44,18.45,18.44,18.44,700,1,4
2023.04.14 10:12:00-ARZZ3,2023.04.14 10:12:00,ARZZ3,67.89,68.06,67.89,67.95,2900,6,13
2023.04.14 10:12:00-ASAI3,2023.04.14 10:12:00,ASAI3,13.72,13.73,13.72,13.73,3800,1,5
2023.04.14 10:12:00-AZUL4,2023.04.14 10:12:00,AZUL4,11.73,11.75,11.71,11.75,69100,1,20
2023.04.14 10:12:00-B3SA3,2023.04.14 10:12:00,B3SA3,11.62,11.64,11.62,11.63,18400,1,44
2023.04.14 10:12:00-BBAS3,2023.04.14 10:12:00,BBAS3,42.42,42.5,42.42,42.42,47500,1,53
2023.04.14 10:12:00-BBDC3,2023.04.14 10:12:00,BBDC3,12.3,12.32,12.3,12.3,10700,1,9
2023.04.14 10:12:00-BBDC4,2023.04.14 10:12:00,BBDC4,13.7,13.72,13.7,13.71,54800,1,17
2023.04.14 10:13:00-BBSE3,2023.04.14 10:13:00,BBSE3,34.91,34.91,34.91,34.91,200,2,1
2023.04.14 10:12:00-BEEF3,2023.04.14 10:12:00,BEEF3,9.35,9.35,9.32,9.33,21400,1,19
2023.04.14 10:12:00-BPAC11,2023.04.14 10:12:00,BPAC11,22.93,22.99,22.92,22.94,9100,1,19
2023.04.14 10:12:00-BPAN4,2023.04.14 10:12:00,BPAN4,5.47,5.47,5.47,5.47,200,1,2
2023.04.14 10:12:00-BRAP4,2023.04.14 10:12:00,BRAP4,26.26,26.26,26.18,26.23,26400,1,27
2023.04.14 10:12:00-BRFS3,2023.04.14 10:12:00,BRFS3,6.17,6.19,6.15,6.16,68900,1,53
2023.04.14 10:12:00-BRKM5,2023.04.14 10:12:00,BRKM5,21.24,21.33,21.23,21.33,28100,1,38
2023.04.14 10:12:00-CASH3,2023.04.14 10:12:00,CASH3,0.95,0.96,0.95,0.95,1100,1,3
2023.04.14 10:12:00-CCRO3,2023.04.14 10:12:00,CCRO3,13.18,13.19,13.15,13.18,16200,2,30
2023.04.14 10:12:00-CIEL3,2023.04.14 10:12:00,CIEL3,4.93,4.93,4.93,4.93,12500,1,3
2023.04.14 10:12:00-CMIG4,2023.04.14 10:12:00,CMIG4,12.15,12.16,12.14,12.14,17900,1,48
2023.04.14 10:12:00-CMIN3,2023.04.14 10:12:00,CMIN3,4.72,4.73,4.72,4.73,2500,1,5
2023.04.14 10:12:00-COGN3,2023.04.14 10:12:00,COGN3,2.01,2.01,2.0,2.0,14600,1,7
2023.04.14 10:12:00-CPFE3,2023.04.14 10:12:00,CPFE3,33.32,33.36,33.28,33.36,3400,2,17
2023.04.14 10:12:00-CPLE6,2023.04.14 10:12:00,CPLE6,7.79,7.8,7.76,7.79,51000,1,28
2023.04.14 10:12:00-CRFB3,2023.04.14 10:12:00,CRFB3,11.23,11.23,11.21,11.22,19800,1,9
2023.04.13 16:54:00-CSAN3,2023.04.13 16:54:00,CSAN3,15.74,15.77,15.73,15.77,857000,1,191
2023.04.14 10:12:00-CSNA3,2023.04.14 10:12:00,CSNA3,14.75,14.78,14.64,14.68,217400,1,109
2023.04.14 10:12:00-CVCB3,2023.04.14 10:12:00,CVCB3,3.3,3.3,3.29,3.3,13500,1,8
2023.04.14 10:12:00-CYRE3,2023.04.14 10:12:00,CYRE3,15.54,15.6,15.54,15.58,24100,1,22
2023.04.14 10:12:00-DXCO3,2023.04.14 10:12:00,DXCO3,6.03,6.03,6.01,6.01,24300,1,11
2023.04.14 10:12:00-ECOR3,2023.04.14 10:12:00,ECOR3,6.23,6.23,6.23,6.23,2400,1,4
2023.04.14 10:12:00-EGIE3,2023.04.14 10:12:00,EGIE3,40.56,40.57,40.53,40.54,1300,1,10
2023.04.14 10:12:00-ELET3,2023.04.14 10:12:00,ELET3,34.76,34.77,34.72,34.72,13000,1,29
2023.04.14 10:12:00-ELET6,2023.04.14 10:12:00,ELET6,38.39,38.42,38.36,38.4,1600,2,7
2023.04.14 10:12:00-EMBR3,2023.04.14 10:12:00,EMBR3,20.61,20.65,20.53,20.55,41200,1,98
2023.04.14 10:12:00-ENBR3,2023.04.14 10:12:00,ENBR3,21.98,21.98,21.96,21.96,3600,2,6
2023.04.14 10:12:00-ENEV3,2023.04.14 10:12:00,ENEV3,11.56,11.56,11.56,11.56,100,2,1
2023.04.14 10:12:00-ENGI11,2023.04.14 10:12:00,ENGI11,43.02,43.07,42.97,43.04,2100,2,14
2023.04.14 10:12:00-EQTL3,2023.04.14 10:12:00,EQTL3,28.58,28.58,28.54,28.56,800,2,6
2023.04.14 10:12:00-EZTC3,2023.04.14 10:12:00,EZTC3,15.01,15.02,14.95,14.95,4600,1,10
2023.04.14 10:12:00-FLRY3,2023.04.14 10:12:00,FLRY3,14.39,14.39,14.35,14.36,4500,2,7
2023.04.14 10:12:00-GGBR4,2023.04.14 10:12:00,GGBR4,25.7,25.74,25.68,25.73,4500,2,11
2023.04.14 10:12:00-GOAU4,2023.04.14 10:12:00,GOAU4,11.97,11.99,11.97,11.99,1600,1,4
2023.04.14 10:12:00-GOLL4,2023.04.14 10:12:00,GOLL4,6.95,6.95,6.9399999999999995,6.95,4000,1,15
2023.04.14 10:12:00-HAPV3,2023.04.14 10:12:00,HAPV3,2.54,2.56,2.54,2.56,86900,1,19
2023.04.14 10:12:00-HYPE3,2023.04.14 10:12:00,HYPE3,37.0,37.03,36.94,36.94,5200,1,28
2023.04.14 10:12:00-IGTI11,2023.04.14 10:12:00,IGTI11,20.1,20.1,20.06,20.08,1700,2,10
2023.04.14 10:12:00-ITSA4,2023.04.14 10:12:00,ITSA4,8.6,8.61,8.6,8.61,12900,1,13
2023.04.14 10:12:00-ITUB4,2023.04.14 10:12:00,ITUB4,25.65,25.69,25.63,25.65,77700,1,45
2023.04.14 10:12:00-JBSS3,2023.04.14 10:12:00,JBSS3,16.8,16.81,16.78,16.8,16000,1,39
2023.04.14 10:12:00-KLBN11,2023.04.14 10:12:00,KLBN11,18.63,18.63,18.6,18.6,6300,1,8
2023.04.14 10:12:00-LREN3,2023.04.14 10:12:00,LREN3,16.59,16.6,16.55,16.55,9900,1,21
2023.04.14 10:12:00-LWSA3,2023.04.14 10:12:00,LWSA3,5.21,5.22,5.21,5.21,16000,1,7
2023.04.14 10:12:00-MGLU3,2023.04.14 10:12:00,MGLU3,3.83,3.83,3.82,3.82,67000,1,11
2023.04.14 10:12:00-MRFG3,2023.04.14 10:12:00,MRFG3,6.26,6.27,6.23,6.25,177200,1,82
2023.04.14 10:12:00-MRVE3,2023.04.14 10:12:00,MRVE3,7.49,7.5,7.46,7.5,56200,1,41
2023.04.14 10:12:00-MULT3,2023.04.14 10:12:00,MULT3,25.61,25.64,25.61,25.64,900,2,3
2023.04.14 10:12:00-NTCO3,2023.04.14 10:12:00,NTCO3,11.6,11.62,11.58,11.59,26000,1,45
