,ID,DateTime,Ticker,Close
130,2023.04.25 16:26:00-GOAU4,2023-04-25 16:26:00+00:00,GOAU4,11.17
131,2023.04.25 16:25:00-GOAU4,2023-04-25 16:25:00+00:00,GOAU4,11.18
132,2023.04.25 16:27:00-GOLL4,2023-04-25 16:27:00+00:00,GOLL4,6.46
133,2023.04.25 16:26:00-GOLL4,2023-04-25 16:26:00+00:00,GOLL4,6.46
134,2023.04.25 16:25:00-GOLL4,2023-04-25 16:25:00+00:00,GOLL4,6.46
135,2023.04.25 16:27:00-HAPV3,2023-04-25 16:27:00+00:00,HAPV3,2.54
136,2023.04.25 16:26:00-HAPV3,2023-04-25 16:26:00+00:00,HAPV3,2.54
137,2023.04.25 16:25:00-HAPV3,2023-04-25 16:25:00+00:00,HAPV3,2.54
138,2023.04.25 16:27:00-HYPE3,2023-04-25 16:27:00+00:00,HYPE3,35.63
139,2023.04.25 16:26:00-HYPE3,2023-04-25 16:26:00+00:00,HYPE3,35.64
140,2023.04.25 16:25:00-HYPE3,2023-04-25 16:25:00+00:00,HYPE3,35.65
141,2023.04.25 16:28:00-IBOV,2023-04-25 16:28:00+00:00,IBOV,103001.0
142,2023.04.25 16:26:00-IBOV,2023-04-25 16:26:00+00:00,IBOV,103044.0
143,2023.04.25 16:26:00-IBOV,2023-04-25 16:26:00+00:00,IBOV,103055.0
144,2023.04.25 16:27:00-IGTI11,2023-04-25 16:27:00+00:00,IGTI11,19.21
145,2023.04.25 16:26:00-IGTI11,2023-04-25 16:26:00+00:00,IGTI11,19.22
146,2023.04.25 16:25:00-IGTI11,2023-04-25 16:25:00+00:00,IGTI11,19.2
147,2023.04.25 16:27:00-ITSA4,2023-04-25 16:27:00+00:00,ITSA4,8.58
148,2023.04.25 16:26:00-ITSA4,2023-04-25 16:26:00+00:00,ITSA4,8.57
149,2023.04.25 16:25:00-ITSA4,2023-04-25 16:25:00+00:00,ITSA4,8.58
150,2023.04.25 16:27:00-ITUB4,2023-04-25 16:27:00+00:00,ITUB4,25.59
151,2023.04.25 16:27:00-ITUB4,2023-04-25 16:27:00+00:00,ITUB4,25.53
152,2023.04.25 16:25:00-ITUB4,2023-04-25 16:25:00+00:00,ITUB4,25.57
153,2023.04.25 16:27:00-JBSS3,2023-04-25 16:27:00+00:00,JBSS3,16.79
154,2023.04.25 16:26:00-JBSS3,2023-04-25 16:26:00+00:00,JBSS3,16.79
155,2023.04.25 16:25:00-JBSS3,2023-04-25 16:25:00+00:00,JBSS3,16.79
156,2023.04.25 16:27:00-KLBN11,2023-04-25 16:27:00+00:00,KLBN11,18.33
157,2023.04.25 16:26:00-KLBN11,2023-04-25 16:26:00+00:00,KLBN11,18.31
158,2023.04.25 16:25:00-KLBN11,2023-04-25 16:25:00+00:00,KLBN11,18.32
159,2023.04.25 16:27:00-LREN3,2023-04-25 16:27:00+00:00,LREN3,14.6
160,2023.04.25 16:26:00-LREN3,2023-04-25 16:26:00+00:00,LREN3,14.61
161,2023.04.25 16:25:00-LREN3,2023-04-25 16:25:00+00:00,LREN3,14.62
162,2023.04.25 16:27:00-LWSA3,2023-04-25 16:27:00+00:00,LWSA3,5.17
163,2023.04.25 16:26:00-LWSA3,2023-04-25 16:26:00+00:00,LWSA3,5.17
164,2023.04.25 16:25:00-LWSA3,2023-04-25 16:25:00+00:00,LWSA3,5.16
165,2023.04.25 16:27:00-MGLU3,2023-04-25 16:27:00+00:00,MGLU3,3.25
166,2023.04.25 16:26:00-MGLU3,2023-04-25 16:26:00+00:00,MGLU3,3.26
167,2023.04.25 16:25:00-MGLU3,2023-04-25 16:25:00+00:00,MGLU3,3.26
168,2023.04.25 16:27:00-MRFG3,2023-04-25 16:27:00+00:00,MRFG3,6.3
169,2023.04.25 16:26:00-MRFG3,2023-04-25 16:26:00+00:00,MRFG3,6.29
170,2023.04.25 16:25:00-MRFG3,2023-04-25 16:25:00+00:00,MRFG3,6.3
171,2023.04.25 16:27:00-MRVE3,2023-04-25 16:27:00+00:00,MRVE3,6.15
172,2023.04.25 16:26:00-MRVE3,2023-04-25 16:26:00+00:00,MRVE3,6.15
173,2023.04.25 16:25:00-MRVE3,2023-04-25 16:25:00+00:00,MRVE3,6.16
174,2023.04.25 16:27:00-MULT3,2023-04-25 16:27:00+00:00,MULT3,24.81
175,2023.04.25 16:26:00-MULT3,2023-04-25 16:26:00+00:00,MULT3,24.82
176,2023.04.25 16:25:00-MULT3,2023-04-25 16:25:00+00:00,MULT3,24.82
177,2023.04.25 16:27:00-NTCO3,2023-04-25 16:27:00+00:00,NTCO3,10.53
178,2023.04.25 16:26:00-NTCO3,2023-04-25 16:26:00+00:00,NTCO3,10.53
179,2023.04.25 16:25:00-NTCO3,2023-04-25 16:25:00+00:00,NTCO3,10.53
180,2023.04.25 16:27:00-PCAR3,2023-04-25 16:27:00+00:00,PCAR3,16.03
181,2023.04.25 16:26:00-PCAR3,2023-04-25 16:26:00+00:00,PCAR3,16.03
182,2023.04.25 16:25:00-PCAR3,2023-04-25 16:25:00+00:00,PCAR3,16.03
183,2023.04.25 16:27:00-PETR3,2023-04-25 16:27:00+00:00,PETR3,30.0
184,2023.04.25 16:26:00-PETR3,2023-04-25 16:26:00+00:00,PETR3,29.99
185,2023.04.25 16:25:00-PETR3,2023-04-25 16:25:00+00:00,PETR3,30.0
186,2023.04.25 16:27:00-PETR4,2023-04-25 16:27:00+00:00,PETR4,26.98
187,2023.04.25 16:26:00-PETR4,2023-04-25 16:26:00+00:00,PETR4,26.97
188,2023.04.25 16:25:00-PETR4,2023-04-25 16:25:00+00:00,PETR4,26.96
189,2023.04.25 16:27:00-PETZ3,2023-04-25 16:27:00+00:00,PETZ3,6.2
190,2023.04.25 16:26:00-PETZ3,2023-04-25 16:26:00+00:00,PETZ3,6.21
191,2023.04.25 16:25:00-PETZ3,2023-04-25 16:25:00+00:00,PETZ3,6.22
192,2023.04.25 16:27:00-PRIO3,2023-04-25 16:27:00+00:00,PRIO3,34.57
193,2023.04.25 16:26:00-PRIO3,2023-04-25 16:26:00+00:00,PRIO3,34.57
194,2023.04.25 16:25:00-PRIO3,2023-04-25 16:25:00+00:00,PRIO3,34.54
