,ID,DateTime,Ticker,Close,Close_1
119,2023.04.25 16:26:00-PETR3,2023-04-25 16:26:00+00:00,PETR3,29.99,30.0
120,2023.04.25 16:27:00-PETR4,2023-04-25 16:27:00+00:00,PETR4,26.98,26.97
121,2023.04.25 16:26:00-PETR4,2023-04-25 16:26:00+00:00,PETR4,26.97,26.96
122,2023.04.25 16:27:00-PETZ3,2023-04-25 16:27:00+00:00,PETZ3,6.2,6.21
123,2023.04.25 16:26:00-PETZ3,2023-04-25 16:26:00+00:00,PETZ3,6.21,6.22
124,2023.04.25 16:27:00-PRIO3,2023-04-25 16:27:00+00:00,PRIO3,34.57,34.57
125,2023.04.25 16:26:00-PRIO3,2023-04-25 16:26:00+00:00,PRIO3,34.57,34.54
126,2023.04.25 16:27:00-QUAL3,2023-04-25 16:27:00+00:00,QUAL3,3.68,3.67
127,2023.04.25 16:26:00-QUAL3,2023-04-25 16:26:00+00:00,QUAL3,3.67,3.68
128,2023.04.25 16:27:00-RADL3,2023-04-25 16:27:00+00:00,RADL3,25.96,25.96
129,2023.04.25 16:26:00-RADL3,2023-04-25 16:26:00+00:00,RADL3,25.96,25.96
130,2023.04.25 16:27:00-RAIL3,2023-04-25 16:27:00+00:00,RAIL3,19.7,19.72
131,2023.04.25 16:26:00-RAIL3,2023-04-25 16:26:00+00:00,RAIL3,19.72,19.74
132,2023.04.25 16:27:00-RAIZ4,2023-04-25 16:27:00+00:00,RAIZ4,3.17,3.17
133,2023.04.25 16:26:00-RAIZ4,2023-04-25 16:26:00+00:00,RAIZ4,3.17,3.17
134,2023.04.25 16:27:00-RDOR3,2023-04-25 16:27:00+00:00,RDOR3,22.78,22.78
135,2023.04.25 16:26:00-RDOR3,2023-04-25 16:26:00+00:00,RDOR3,22.78,22.78
136,2023.04.25 16:27:00-RENT3,2023-04-25 16:27:00+00:00,RENT3,56.08,56.15
137,2023.04.25 16:26:00-RENT3,2023-04-25 16:26:00+00:00,RENT3,56.15,56.15
138,2023.04.25 16:27:00-RRRP3,2023-04-25 16:27:00+00:00,RRRP3,27.86,27.87
139,2023.04.25 16:26:00-RRRP3,2023-04-25 16:26:00+00:00,RRRP3,27.87,27.79
140,2023.04.25 16:27:00-SANB11,2023-04-25 16:27:00+00:00,SANB11,26.69,26.68
141,2023.04.25 16:26:00-SANB11,2023-04-25 16:26:00+00:00,SANB11,26.68,26.7
142,2023.04.25 16:27:00-SBSP3,2023-04-25 16:27:00+00:00,SBSP3,48.59,48.57
143,2023.04.25 16:26:00-SBSP3,2023-04-25 16:26:00+00:00,SBSP3,48.57,48.56
144,2023.04.25 16:27:00-SLCE3,2023-04-25 16:27:00+00:00,SLCE3,42.8,42.8
145,2023.04.25 16:26:00-SLCE3,2023-04-25 16:26:00+00:00,SLCE3,42.8,42.8
146,2023.04.25 16:27:00-SMTO3,2023-04-25 16:27:00+00:00,SMTO3,29.59,29.58
