ID,DateTime,Ticker,Open,High,Low,Close,RealVolume,Spread,TickVolume
2023.04.14 11:29:00-ABEV3,2023.04.14 11:29:00,ABEV3,14.62,14.64,14.62,14.64,2900,1,13
2023.04.14 11:29:00-ALPA4,2023.04.14 11:29:00,ALPA4,7.54,7.54,7.52,7.53,2700,1,9
2023.04.14 11:29:00-ALSO3,2023.04.14 11:29:00,ALSO3,18.47,18.48,18.46,18.48,3500,1,13
2023.04.14 11:29:00-ARZZ3,2023.04.14 11:29:00,ARZZ3,67.35,67.35,67.32,67.35,300,6,3
2023.04.14 11:29:00-ASAI3,2023.04.14 11:29:00,ASAI3,13.33,13.33,13.27,13.3,143600,1,91
2023.04.14 11:29:00-AZUL4,2023.04.14 11:29:00,AZUL4,11.63,11.67,11.63,11.67,13600,1,10
2023.04.14 11:29:00-B3SA3,2023.04.14 11:29:00,B3SA3,11.76,11.77,11.76,11.77,14700,1,38
2023.04.14 11:29:00-BBAS3,2023.04.14 11:29:00,BBAS3,43.08,43.11,43.07,43.11,18000,1,38
2023.04.14 11:29:00-BBDC3,2023.04.14 11:29:00,BBDC3,12.38,12.4,12.38,12.4,1700,1,8
2023.04.14 11:29:00-BBDC4,2023.04.14 11:29:00,BBDC4,13.82,13.84,13.82,13.84,13500,1,25
2023.04.14 11:29:00-BBSE3,2023.04.14 11:29:00,BBSE3,34.74,34.76,34.74,34.76,2600,1,12
2023.04.14 11:29:00-BEEF3,2023.04.14 11:29:00,BEEF3,9.4,9.41,9.4,9.41,5500,1,27
2023.04.14 11:29:00-BPAC11,2023.04.14 11:29:00,BPAC11,23.06,23.08,23.05,23.08,5600,1,11
2023.04.14 11:29:00-BPAN4,2023.04.14 11:29:00,BPAN4,5.48,5.48,5.47,5.47,300,1,3
2023.04.14 11:29:00-BRAP4,2023.04.14 11:29:00,BRAP4,26.61,26.62,26.61,26.62,10900,1,7
2023.04.14 11:29:00-BRFS3,2023.04.14 11:29:00,BRFS3,6.11,6.12,6.1,6.12,7400,1,18
2023.04.14 11:29:00-BRKM5,2023.04.14 11:29:00,BRKM5,21.5,21.52,21.48,21.49,3700,2,10
2023.04.14 11:29:00-CASH3,2023.04.14 11:29:00,CASH3,0.95,0.95,0.95,0.95,700,1,5
2023.04.14 11:30:00-CCRO3,2023.04.14 11:30:00,CCRO3,13.05,13.05,13.05,13.05,600,1,1
2023.04.14 11:29:00-CIEL3,2023.04.14 11:29:00,CIEL3,5.05,5.05,5.04,5.05,70000,1,15
2023.04.14 11:29:00-CMIG4,2023.04.14 11:29:00,CMIG4,12.05,12.06,12.05,12.05,4500,1,40
2023.04.14 11:29:00-CMIN3,2023.04.14 11:29:00,CMIN3,4.73,4.73,4.72,4.72,5000,1,13
2023.04.14 11:29:00-COGN3,2023.04.14 11:29:00,COGN3,2.02,2.03,2.02,2.03,3200,1,9
2023.04.14 11:29:00-CPFE3,2023.04.14 11:29:00,CPFE3,33.45,33.45,33.42,33.45,3200,1,8
2023.04.14 11:29:00-CPLE6,2023.04.14 11:29:00,CPLE6,7.8,7.8,7.79,7.8,900,1,9
2023.04.14 11:29:00-CRFB3,2023.04.14 11:29:00,CRFB3,11.05,11.06,11.04,11.05,6900,1,12
2023.04.14 11:29:00-CSAN3,2023.04.14 11:29:00,CSAN3,15.77,15.77,15.74,15.76,12400,1,17
2023.04.14 11:29:00-CSNA3,2023.04.14 11:29:00,CSNA3,14.67,14.68,14.66,14.68,3100,1,12
2023.04.14 11:29:00-CVCB3,2023.04.14 11:29:00,CVCB3,3.23,3.24,3.23,3.24,800,1,4
2023.04.14 11:29:00-CYRE3,2023.04.14 11:29:00,CYRE3,15.59,15.59,15.56,15.57,7200,1,22
2023.04.14 11:29:00-DXCO3,2023.04.14 11:29:00,DXCO3,6.13,6.14,6.13,6.14,4700,1,15
2023.04.14 11:29:00-ECOR3,2023.04.14 11:29:00,ECOR3,6.11,6.12,6.11,6.12,2200,1,16
2023.04.14 11:29:00-EGIE3,2023.04.14 11:29:00,EGIE3,40.5,40.5,40.46,40.46,1800,1,7
2023.04.14 11:29:00-ELET3,2023.04.14 11:29:00,ELET3,34.66,34.67,34.63,34.63,8600,1,19
2023.04.14 11:28:00-ELET6,2023.04.14 11:28:00,ELET6,38.32,38.33,38.27,38.29,1200,1,8
2023.04.14 11:29:00-EMBR3,2023.04.14 11:29:00,EMBR3,20.38,20.39,20.38,20.39,800,1,3
2023.04.14 11:29:00-ENBR3,2023.04.14 11:29:00,ENBR3,22.16,22.17,22.16,22.17,1500,1,9
2023.04.14 11:29:00-ENEV3,2023.04.14 11:29:00,ENEV3,11.44,11.44,11.43,11.44,2400,1,13
2023.04.14 11:29:00-ENGI11,2023.04.14 11:29:00,ENGI11,43.51,43.55,43.49,43.5,5300,1,17
2023.04.14 11:29:00-EQTL3,2023.04.14 11:29:00,EQTL3,28.51,28.52,28.5,28.5,600,1,5
2023.04.14 11:29:00-EZTC3,2023.04.14 11:29:00,EZTC3,15.07,15.08,15.05,15.07,3500,1,15
2023.04.14 11:29:00-FLRY3,2023.04.14 11:29:00,FLRY3,14.38,14.38,14.38,14.38,600,1,2
2023.04.14 11:29:00-GGBR4,2023.04.14 11:29:00,GGBR4,26.27,26.29,26.27,26.29,6000,1,15
2023.04.14 11:29:00-GOAU4,2023.04.14 11:29:00,GOAU4,12.15,12.17,12.15,12.17,3100,1,6
2023.04.14 11:29:00-GOLL4,2023.04.14 11:29:00,GOLL4,6.98,6.98,6.98,6.98,500,1,2
2023.04.14 11:29:00-HAPV3,2023.04.14 11:29:00,HAPV3,2.57,2.57,2.55,2.56,405400,1,38
2023.04.14 11:29:00-HYPE3,2023.04.14 11:29:00,HYPE3,37.43,37.43,37.4,37.42,3100,1,13
2023.04.14 11:29:00-IGTI11,2023.04.14 11:29:00,IGTI11,20.2,20.24,20.2,20.24,3700,1,9
2023.04.14 11:29:00-ITSA4,2023.04.14 11:29:00,ITSA4,8.67,8.67,8.66,8.67,7100,1,22
2023.04.14 11:29:00-ITUB4,2023.04.14 11:29:00,ITUB4,25.95,25.98,25.94,25.97,65800,1,48
2023.04.14 11:29:00-JBSS3,2023.04.14 11:29:00,JBSS3,16.55,16.56,16.54,16.54,29700,1,49
2023.04.14 11:29:00-KLBN11,2023.04.14 11:29:00,KLBN11,18.56,18.58,18.56,18.58,6100,1,10
2023.04.14 11:29:00-LREN3,2023.04.14 11:29:00,LREN3,16.41,16.42,16.36,16.36,105700,1,99
2023.04.14 11:29:00-LWSA3,2023.04.14 11:29:00,LWSA3,5.31,5.32,5.31,5.32,1400,1,4
2023.04.14 11:29:00-MGLU3,2023.04.14 11:29:00,MGLU3,3.79,3.8,3.79,3.8,48200,1,20
2023.04.14 11:29:00-MRFG3,2023.04.14 11:29:00,MRFG3,6.16,6.16,6.15,6.16,17400,1,33
2023.04.14 11:29:00-MRVE3,2023.04.14 11:29:00,MRVE3,7.64,7.65,7.63,7.65,3500,1,16
2023.04.14 11:29:00-MULT3,2023.04.14 11:29:00,MULT3,25.75,25.81,25.75,25.8,35900,1,23
2023.04.14 11:29:00-NTCO3,2023.04.14 11:29:00,NTCO3,11.55,11.56,11.54,11.56,5100,1,9
2023.04.14 11:29:00-PCAR3,2023.04.14 11:29:00,PCAR3,14.71,14.71,14.7,14.7,1900,1,7
2023.04.14 11:29:00-PETR3,2023.04.14 11:29:00,PETR3,29.62,29.62,29.6,29.62,26300,1,42
2023.04.14 11:29:00-PETR4,2023.04.14 11:29:00,PETR4,26.21,26.21,26.2,26.21,28400,1,51
2023.04.14 11:29:00-PETZ3,2023.04.14 11:29:00,PETZ3,5.88,5.89,5.88,5.89,3400,1,5
2023.04.14 11:29:00-PRIO3,2023.04.14 11:29:00,PRIO3,36.61,36.61,36.59,36.59,5900,1,10
2023.04.14 11:29:00-QUAL3,2023.04.14 11:29:00,QUAL3,4.0,4.0,3.99,3.99,600,1,6
2023.04.14 11:29:00-RADL3,2023.04.14 11:29:00,RADL3,25.84,25.84,25.84,25.84,1700,1,13
2023.04.14 11:29:00-RAIL3,2023.04.14 11:29:00,RAIL3,19.1,19.14,19.08,19.13,60000,1,50
2023.04.14 11:29:00-RAIZ4,2023.04.14 11:29:00,RAIZ4,3.02,3.02,3.01,3.02,2900,1,19
2023.04.14 11:29:00-RDOR3,2023.04.14 11:29:00,RDOR3,22.01,22.05,21.94,22.0,107400,1,111
2023.04.14 11:29:00-RENT3,2023.04.14 11:29:00,RENT3,57.98,58.06,57.98,58.05,2500,1,15
2023.04.14 11:29:00-RRRP3,2023.04.14 11:29:00,RRRP3,32.66,32.66,32.61,32.63,2600,1,12
2023.04.14 11:29:00-SANB11,2023.04.14 11:29:00,SANB11,27.67,27.69,27.67,27.69,700,1,4
2023.04.14 11:29:00-SBSP3,2023.04.14 11:29:00,SBSP3,49.75,49.81,49.69,49.72,19400,1,46
2023.04.14 11:29:00-SLCE3,2023.04.14 11:29:00,SLCE3,45.26,45.26,45.21,45.24,5400,1,11
2023.04.14 11:29:00-SMTO3,2023.04.14 11:29:00,SMTO3,28.53,28.58,28.53,28.58,2100,1,10
2023.04.14 11:29:00-SOMA3,2023.04.14 11:29:00,SOMA3,8.19,8.2,8.18,8.19,4600,1,10
2023.04.14 11:29:00-SUZB3,2023.04.14 11:29:00,SUZB3,40.73,40.76,40.72,40.74,4200,1,21
2023.04.14 11:29:00-TAEE11,2023.04.14 11:29:00,TAEE11,34.67,34.71,34.67,34.69,6500,1,12
2023.04.14 11:29:00-TIMS3,2023.04.14 11:29:00,TIMS3,13.42,13.45,13.42,13.45,10600,1,14
2023.04.14 11:29:00-TOTS3,2023.04.14 11:29:00,TOTS3,25.91,25.91,25.87,25.89,18700,1,54
2023.04.14 11:29:00-UGPA3,2023.04.14 11:29:00,UGPA3,14.72,14.72,14.7,14.71,17300,1,13
2023.04.14 11:29:00-USIM5,2023.04.14 11:29:00,USIM5,7.53,7.54,7.52,7.53,5100,1,10
2023.04.14 11:29:00-VALE3,2023.04.14 11:29:00,VALE3,79.1,79.13,79.09,79.1,22800,1,39
2023.04.14 11:29:00-VBBR3,2023.04.14 11:29:00,VBBR3,13.82,13.82,13.78,13.8,53100,1,23
2023.04.14 11:29:00-VIIA3,2023.04.14 11:29:00,VIIA3,2.02,2.03,2.02,2.03,2000,1,16
2023.04.14 11:29:00-VIVT3,2023.04.14 11:29:00,VIVT3,40.31,40.32,40.29,40.29,3100,1,22
2023.04.14 11:29:00-WEGE3,2023.04.14 11:29:00,WEGE3,38.67,38.67,38.64,38.66,6700,1,22
2023.04.14 11:29:00-YDUQ3,2023.04.14 11:29:00,YDUQ3,8.12,8.13,8.12,8.13,2000,1,3
