ID,DateTime,Ticker,Open,High,Low,Close,RealVolume,Spread,TickVolume
2023.04.14 13:36:00-ABEV3,2023.04.14 13:36:00,ABEV3,14.67,14.68,14.67,14.68,1500,1,14
2023.04.14 13:36:00-ALPA4,2023.04.14 13:36:00,ALPA4,7.63,7.65,7.63,7.63,5100,1,17
2023.04.14 13:36:00-ALSO3,2023.04.14 13:36:00,ALSO3,18.48,18.5,18.48,18.5,2400,1,12
2023.04.14 13:36:00-ARZZ3,2023.04.14 13:36:00,ARZZ3,67.61,67.61,67.54,67.61,500,6,5
2023.04.14 13:36:00-ASAI3,2023.04.14 13:36:00,ASAI3,13.3,13.31,13.29,13.29,16900,1,90
2023.04.14 13:36:00-AZUL4,2023.04.14 13:36:00,AZUL4,11.46,11.48,11.46,11.47,28600,1,9
2023.04.14 13:36:00-B3SA3,2023.04.14 13:36:00,B3SA3,11.9,11.91,11.9,11.9,22400,1,104
2023.04.14 13:36:00-BBAS3,2023.04.14 13:36:00,BBAS3,42.96,42.96,42.93,42.94,11200,1,21
2023.04.14 13:36:00-BBDC3,2023.04.14 13:36:00,BBDC3,12.41,12.41,12.4,12.41,400,1,4
2023.04.14 13:36:00-BBDC4,2023.04.14 13:36:00,BBDC4,13.82,13.82,13.81,13.82,13100,1,36
2023.04.14 13:36:00-BBSE3,2023.04.14 13:36:00,BBSE3,34.76,34.77,34.75,34.77,900,1,6
2023.04.14 13:36:00-BEEF3,2023.04.14 13:36:00,BEEF3,9.44,9.44,9.43,9.43,11200,1,32
2023.04.14 13:36:00-BPAC11,2023.04.14 13:36:00,BPAC11,22.94,22.96,22.93,22.94,7200,1,41
2023.04.14 13:36:00-BPAN4,2023.04.14 13:36:00,BPAN4,5.52,5.52,5.51,5.51,200,1,2
2023.04.14 13:36:00-BRAP4,2023.04.14 13:36:00,BRAP4,26.67,26.68,26.66,26.68,8400,1,11
2023.04.14 13:36:00-BRFS3,2023.04.14 13:36:00,BRFS3,6.11,6.11,6.1,6.11,66500,1,33
2023.04.14 13:36:00-BRKM5,2023.04.14 13:36:00,BRKM5,21.56,21.56,21.55,21.56,2100,1,8
2023.04.14 13:36:00-CASH3,2023.04.14 13:36:00,CASH3,0.95,0.96,0.95,0.96,2800,1,12
2023.04.14 13:36:00-CCRO3,2023.04.14 13:36:00,CCRO3,13.04,13.04,13.03,13.04,1500,1,8
2023.04.14 13:36:00-CIEL3,2023.04.14 13:36:00,CIEL3,5.05,5.05,5.04,5.05,19500,1,27
2023.04.14 13:36:00-CMIG4,2023.04.14 13:36:00,CMIG4,12.14,12.15,12.14,12.14,2700,1,21
2023.04.14 13:36:00-CMIN3,2023.04.14 13:36:00,CMIN3,4.78,4.79,4.78,4.78,400,1,4
2023.04.14 13:36:00-COGN3,2023.04.14 13:36:00,COGN3,2.04,2.05,2.04,2.04,5200,1,19
2023.04.14 13:36:00-CPFE3,2023.04.14 13:36:00,CPFE3,33.66,33.66,33.64,33.64,1800,1,4
2023.04.14 13:36:00-CPLE6,2023.04.14 13:36:00,CPLE6,7.92,7.92,7.91,7.91,2700,1,10
2023.04.14 13:36:00-CRFB3,2023.04.14 13:36:00,CRFB3,11.02,11.03,11.02,11.02,13500,1,15
2023.04.14 13:36:00-CSAN3,2023.04.14 13:36:00,CSAN3,15.74,15.75,15.74,15.74,5700,1,13
2023.04.14 13:36:00-CSNA3,2023.04.14 13:36:00,CSNA3,14.62,14.63,14.61,14.62,10400,1,17
2023.04.14 13:36:00-CVCB3,2023.04.14 13:36:00,CVCB3,3.25,3.26,3.25,3.26,29800,1,3
2023.04.14 13:36:00-CYRE3,2023.04.14 13:36:00,CYRE3,15.63,15.63,15.62,15.62,2600,1,14
2023.04.14 13:36:00-DXCO3,2023.04.14 13:36:00,DXCO3,6.14,6.14,6.12,6.12,8900,1,11
2023.04.14 13:36:00-ECOR3,2023.04.14 13:36:00,ECOR3,6.09,6.1,6.08,6.09,3400,1,16
2023.04.14 13:36:00-EGIE3,2023.04.14 13:36:00,EGIE3,40.91,40.91,40.9,40.9,2600,1,9
2023.04.14 13:36:00-ELET3,2023.04.14 13:36:00,ELET3,35.1,35.11,35.09,35.1,6000,1,16
2023.04.14 13:36:00-ELET6,2023.04.14 13:36:00,ELET6,38.74,38.76,38.74,38.76,1000,1,4
2023.04.14 13:36:00-EMBR3,2023.04.14 13:36:00,EMBR3,20.55,20.55,20.54,20.54,1300,1,5
2023.04.14 13:36:00-ENBR3,2023.04.14 13:36:00,ENBR3,22.19,22.19,22.18,22.19,700,1,6
2023.04.14 13:36:00-ENEV3,2023.04.14 13:36:00,ENEV3,11.53,11.54,11.53,11.53,2400,1,14
2023.04.14 13:36:00-ENGI11,2023.04.14 13:36:00,ENGI11,43.48,43.48,43.47,43.47,2500,1,12
2023.04.14 13:36:00-EQTL3,2023.04.14 13:36:00,EQTL3,28.63,28.66,28.63,28.66,4500,1,18
2023.04.14 13:36:00-EZTC3,2023.04.14 13:36:00,EZTC3,15.12,15.12,15.11,15.12,1800,1,10
2023.04.14 13:36:00-FLRY3,2023.04.14 13:36:00,FLRY3,14.59,14.6,14.59,14.59,1200,1,7
2023.04.14 13:36:00-GGBR4,2023.04.14 13:36:00,GGBR4,26.19,26.2,26.18,26.2,3500,1,25
2023.04.14 13:36:00-GOAU4,2023.04.14 13:36:00,GOAU4,12.15,12.15,12.14,12.14,2700,1,23
2023.04.14 13:36:00-GOLL4,2023.04.14 13:36:00,GOLL4,6.98,6.99,6.98,6.99,900,1,3
2023.04.14 13:36:00-HAPV3,2023.04.14 13:36:00,HAPV3,2.62,2.63,2.61,2.62,300800,1,37
2023.04.14 13:36:00-HYPE3,2023.04.14 13:36:00,HYPE3,37.54,37.55,37.53,37.53,2900,1,11
2023.04.14 13:36:00-IGTI11,2023.04.14 13:36:00,IGTI11,20.34,20.34,20.33,20.33,1200,1,7
2023.04.14 13:36:00-ITSA4,2023.04.14 13:36:00,ITSA4,8.7,8.71,8.69,8.69,12100,1,12
2023.04.14 13:37:00-ITUB4,2023.04.14 13:37:00,ITUB4,26.02,26.02,26.02,26.02,200,1,1
2023.04.14 13:36:00-JBSS3,2023.04.14 13:36:00,JBSS3,16.61,16.61,16.59,16.6,3500,1,21
2023.04.14 13:36:00-KLBN11,2023.04.14 13:36:00,KLBN11,18.54,18.54,18.53,18.54,10800,1,11
2023.04.14 13:36:00-LREN3,2023.04.14 13:36:00,LREN3,16.53,16.54,16.51,16.51,20800,1,34
2023.04.14 13:36:00-LWSA3,2023.04.14 13:36:00,LWSA3,5.3,5.31,5.3,5.3,700,1,4
2023.04.14 13:36:00-MGLU3,2023.04.14 13:36:00,MGLU3,3.77,3.7800000000000002,3.77,3.7800000000000002,9500,1,21
2023.04.14 13:36:00-MRFG3,2023.04.14 13:36:00,MRFG3,6.11,6.11,6.1,6.11,2900,1,7
2023.04.14 13:36:00-MRVE3,2023.04.14 13:36:00,MRVE3,7.53,7.54,7.52,7.52,135300,1,40
2023.04.14 13:36:00-MULT3,2023.04.14 13:36:00,MULT3,25.95,25.95,25.94,25.94,400,1,3
2023.04.14 13:36:00-NTCO3,2023.04.14 13:36:00,NTCO3,11.45,11.46,11.45,11.46,3000,1,17
2023.04.14 13:36:00-PCAR3,2023.04.14 13:36:00,PCAR3,14.8,14.8,14.79,14.8,3300,1,9
2023.04.14 13:36:00-PETR3,2023.04.14 13:36:00,PETR3,29.65,29.66,29.63,29.64,6700,1,22
2023.04.14 13:36:00-PETR4,2023.04.14 13:36:00,PETR4,26.17,26.18,26.14,26.15,104200,1,243
2023.04.14 13:36:00-PETZ3,2023.04.14 13:36:00,PETZ3,5.86,5.87,5.85,5.85,15500,1,7
2023.04.14 13:36:00-PRIO3,2023.04.14 13:36:00,PRIO3,36.67,36.69,36.66,36.67,13400,1,19
2023.04.14 13:36:00-QUAL3,2023.04.14 13:36:00,QUAL3,4.02,4.02,4.0,4.01,18200,1,5
2023.04.14 13:36:00-RADL3,2023.04.14 13:36:00,RADL3,25.95,25.96,25.95,25.96,400,1,4
2023.04.14 13:36:00-RAIL3,2023.04.14 13:36:00,RAIL3,19.06,19.07,19.06,19.06,2000,1,17
2023.04.14 13:36:00-RAIZ4,2023.04.14 13:36:00,RAIZ4,3.03,3.04,3.02,3.02,173100,1,27
2023.04.14 13:36:00-RDOR3,2023.04.14 13:36:00,RDOR3,22.09,22.11,22.07,22.08,20900,1,45
2023.04.14 13:36:00-RENT3,2023.04.14 13:36:00,RENT3,57.92,57.94,57.87,57.9,3900,1,17
2023.04.14 13:36:00-RRRP3,2023.04.14 13:36:00,RRRP3,32.35,32.36,32.34,32.36,6400,1,20
2023.04.14 13:36:00-SANB11,2023.04.14 13:36:00,SANB11,27.42,27.45,27.41,27.44,7000,1,16
2023.04.14 13:36:00-SBSP3,2023.04.14 13:36:00,SBSP3,49.78,49.79,49.78,49.78,1000,1,9
2023.04.14 13:36:00-SLCE3,2023.04.14 13:36:00,SLCE3,45.31,45.33,45.3,45.33,400,2,4
2023.04.14 13:36:00-SMTO3,2023.04.14 13:36:00,SMTO3,28.67,28.68,28.67,28.67,1800,1,9
2023.04.14 13:36:00-SOMA3,2023.04.14 13:36:00,SOMA3,8.21,8.22,8.2,8.2,7600,1,28
2023.04.14 13:36:00-SUZB3,2023.04.14 13:36:00,SUZB3,40.71,40.73,40.7,40.73,5800,1,29
2023.04.14 13:36:00-TAEE11,2023.04.14 13:36:00,TAEE11,34.78,34.81,34.78,34.78,2600,1,6
2023.04.14 13:36:00-TIMS3,2023.04.14 13:36:00,TIMS3,13.59,13.6,13.59,13.6,1300,1,9
2023.04.14 13:36:00-TOTS3,2023.04.14 13:36:00,TOTS3,26.45,26.47,26.42,26.42,13400,1,79
2023.04.14 13:36:00-UGPA3,2023.04.14 13:36:00,UGPA3,14.83,14.83,14.8,14.8,11700,1,11
2023.04.14 13:36:00-USIM5,2023.04.14 13:36:00,USIM5,7.54,7.54,7.53,7.53,1300,1,2
2023.04.14 13:36:00-VALE3,2023.04.14 13:36:00,VALE3,79.05,79.07,79.03,79.05,7500,1,27
2023.04.14 13:36:00-VBBR3,2023.04.14 13:36:00,VBBR3,13.85,13.85,13.81,13.82,44400,1,43
2023.04.14 13:36:00-VIIA3,2023.04.14 13:36:00,VIIA3,1.99,2.0,1.99,1.99,1300,1,13
2023.04.14 13:36:00-VIVT3,2023.04.14 13:36:00,VIVT3,40.44,40.46,40.41,40.46,11000,1,25
2023.04.14 13:36:00-WEGE3,2023.04.14 13:36:00,WEGE3,38.89,38.89,38.88,38.89,4500,1,9
2023.04.14 13:36:00-YDUQ3,2023.04.14 13:36:00,YDUQ3,8.18,8.18,8.17,8.18,2300,1,4
