ID,DateTime,Ticker,Open,High,Low,Close,RealVolume,Spread,TickVolume
2023.04.14 12:26:00-ABEV3,2023.04.14 12:26:00,ABEV3,14.64,14.64,14.62,14.62,7600,1,14
2023.04.14 12:26:00-ALPA4,2023.04.14 12:26:00,ALPA4,7.57,7.58,7.57,7.57,1900,1,11
2023.04.14 12:26:00-ALSO3,2023.04.14 12:26:00,ALSO3,18.44,18.44,18.42,18.44,3700,1,9
2023.04.14 12:26:00-ARZZ3,2023.04.14 12:26:00,ARZZ3,67.32,67.32,67.29,67.29,1700,1,5
2023.04.14 12:26:00-ASAI3,2023.04.14 12:26:00,ASAI3,13.3,13.32,13.3,13.31,9200,1,41
2023.04.14 12:26:00-AZUL4,2023.04.14 12:26:00,AZUL4,11.65,11.65,11.64,11.64,27800,1,8
2023.04.14 12:26:00-B3SA3,2023.04.14 12:26:00,B3SA3,11.77,11.77,11.75,11.75,43200,1,34
2023.04.14 12:26:00-BBAS3,2023.04.14 12:26:00,BBAS3,42.9,42.91,42.89,42.9,3300,1,11
2023.04.14 12:26:00-BBDC3,2023.04.14 12:26:00,BBDC3,12.39,12.39,12.39,12.39,300,1,1
2023.04.14 12:26:00-BBDC4,2023.04.14 12:26:00,BBDC4,13.82,13.83,13.81,13.83,54100,1,31
2023.04.14 12:26:00-BBSE3,2023.04.14 12:26:00,BBSE3,34.71,34.73,34.69,34.71,2500,1,12
2023.04.14 12:26:00-BEEF3,2023.04.14 12:26:00,BEEF3,9.37,9.38,9.36,9.37,17600,1,29
2023.04.14 12:27:00-BPAC11,2023.04.14 12:27:00,BPAC11,22.89,22.89,22.89,22.89,100,1,1
2023.04.14 12:26:00-BPAN4,2023.04.14 12:26:00,BPAN4,5.48,5.48,5.47,5.47,2600,1,2
2023.04.14 12:26:00-BRAP4,2023.04.14 12:26:00,BRAP4,26.57,26.58,26.57,26.58,2600,1,13
2023.04.14 12:26:00-BRFS3,2023.04.14 12:26:00,BRFS3,6.07,6.08,6.07,6.07,11700,1,10
2023.04.14 12:26:00-BRKM5,2023.04.14 12:26:00,BRKM5,21.5,21.52,21.49,21.52,12300,1,9
2023.04.14 12:26:00-CASH3,2023.04.14 12:26:00,CASH3,0.95,0.95,0.95,0.95,500,1,4
2023.04.14 12:27:00-CCRO3,2023.04.14 12:27:00,CCRO3,12.94,12.94,12.93,12.93,1700,1,2
2023.04.14 12:26:00-CIEL3,2023.04.14 12:26:00,CIEL3,5.04,5.04,5.04,5.04,3200,1,30
2023.04.14 12:26:00-CMIG4,2023.04.14 12:26:00,CMIG4,12.07,12.07,12.06,12.07,9300,1,52
2023.04.14 12:26:00-CMIN3,2023.04.14 12:26:00,CMIN3,4.77,4.77,4.77,4.77,4500,2,1
2023.04.14 12:26:00-COGN3,2023.04.14 12:26:00,COGN3,2.02,2.02,2.01,2.02,32900,1,32
2023.04.14 12:27:00-CPFE3,2023.04.14 12:27:00,CPFE3,33.43,33.43,33.43,33.43,100,1,1
2023.04.14 12:26:00-CPLE6,2023.04.14 12:26:00,CPLE6,7.85,7.85,7.84,7.85,4600,1,35
2023.04.14 12:26:00-CRFB3,2023.04.14 12:26:00,CRFB3,11.04,11.05,11.04,11.04,6000,1,10
2023.04.14 12:26:00-CSAN3,2023.04.14 12:26:00,CSAN3,15.6,15.6,15.58,15.59,6400,1,8
2023.04.14 12:26:00-CSNA3,2023.04.14 12:26:00,CSNA3,14.56,14.57,14.54,14.56,90900,1,23
2023.04.14 12:26:00-CVCB3,2023.04.14 12:26:00,CVCB3,3.25,3.25,3.25,3.25,600,1,1
2023.04.14 12:26:00-CYRE3,2023.04.14 12:26:00,CYRE3,15.55,15.55,15.54,15.55,1100,1,7
2023.04.14 12:26:00-DXCO3,2023.04.14 12:26:00,DXCO3,6.09,6.1,6.09,6.09,2100,1,14
2023.04.14 12:26:00-ECOR3,2023.04.14 12:26:00,ECOR3,6.07,6.08,6.07,6.07,1600,1,16
2023.04.14 12:26:00-EGIE3,2023.04.14 12:26:00,EGIE3,40.78,40.79,40.78,40.79,900,1,6
2023.04.14 12:26:00-ELET3,2023.04.14 12:26:00,ELET3,34.65,34.66,34.63,34.64,9400,1,16
2023.04.14 12:26:00-ELET6,2023.04.14 12:26:00,ELET6,38.32,38.34,38.32,38.32,1300,1,10
2023.04.14 12:26:00-EMBR3,2023.04.14 12:26:00,EMBR3,20.47,20.48,20.46,20.46,4400,1,7
2023.04.14 12:26:00-ENBR3,2023.04.14 12:26:00,ENBR3,22.19,22.2,22.18,22.18,10000,1,13
2023.04.14 12:26:00-ENEV3,2023.04.14 12:26:00,ENEV3,11.48,11.48,11.47,11.48,700,1,7
2023.04.14 12:26:00-ENGI11,2023.04.14 12:26:00,ENGI11,43.52,43.53,43.49,43.51,4300,1,20
2023.04.14 12:26:00-EQTL3,2023.04.14 12:26:00,EQTL3,28.45,28.47,28.45,28.45,3800,1,6
2023.04.14 12:26:00-EZTC3,2023.04.14 12:26:00,EZTC3,14.95,14.95,14.93,14.93,1800,1,11
2023.04.14 12:26:00-FLRY3,2023.04.14 12:26:00,FLRY3,14.49,14.49,14.48,14.49,2100,1,5
2023.04.14 12:26:00-GGBR4,2023.04.14 12:26:00,GGBR4,26.06,26.07,26.05,26.06,8100,1,21
2023.04.14 12:26:00-GOAU4,2023.04.14 12:26:00,GOAU4,12.08,12.09,12.07,12.08,4700,1,22
2023.04.14 12:26:00-GOLL4,2023.04.14 12:26:00,GOLL4,7.04,7.04,7.03,7.04,19100,1,6
2023.04.14 12:26:00-HAPV3,2023.04.14 12:26:00,HAPV3,2.54,2.55,2.54,2.55,47900,1,30
2023.04.14 12:26:00-HYPE3,2023.04.14 12:26:00,HYPE3,37.49,37.49,37.48,37.48,2300,1,8
2023.04.14 12:26:00-IGTI11,2023.04.14 12:26:00,IGTI11,20.25,20.26,20.24,20.26,1400,1,7
2023.04.14 12:26:00-ITSA4,2023.04.14 12:26:00,ITSA4,8.68,8.68,8.67,8.67,5100,1,14
2023.04.14 12:26:00-ITUB4,2023.04.14 12:26:00,ITUB4,25.95,25.95,25.93,25.95,16200,1,47
2023.04.14 12:26:00-JBSS3,2023.04.14 12:26:00,JBSS3,16.59,16.59,16.58,16.59,8800,1,9
2023.04.14 12:26:00-KLBN11,2023.04.14 12:26:00,KLBN11,18.58,18.59,18.56,18.57,8400,1,15
2023.04.14 12:26:00-LREN3,2023.04.14 12:26:00,LREN3,16.42,16.43,16.39,16.41,38600,1,46
2023.04.14 12:26:00-LWSA3,2023.04.14 12:26:00,LWSA3,5.41,5.42,5.41,5.42,300,1,3
2023.04.14 12:26:00-MGLU3,2023.04.14 12:26:00,MGLU3,3.7800000000000002,3.79,3.7800000000000002,3.7800000000000002,9600,1,18
2023.04.14 12:26:00-MRFG3,2023.04.14 12:26:00,MRFG3,6.09,6.1,6.09,6.1,1200,1,6
2023.04.14 12:26:00-MRVE3,2023.04.14 12:26:00,MRVE3,7.5,7.51,7.5,7.51,2200,1,11
2023.04.14 12:26:00-MULT3,2023.04.14 12:26:00,MULT3,25.9,25.9,25.89,25.89,1500,0,5
2023.04.14 12:26:00-NTCO3,2023.04.14 12:26:00,NTCO3,11.42,11.43,11.41,11.42,22000,1,35
2023.04.14 12:26:00-PCAR3,2023.04.14 12:26:00,PCAR3,14.6,14.6,14.59,14.6,4300,1,9
2023.04.14 12:26:00-PETR3,2023.04.14 12:26:00,PETR3,29.62,29.62,29.6,29.6,18800,1,13
2023.04.14 12:26:00-PETR4,2023.04.14 12:26:00,PETR4,26.11,26.11,26.09,26.1,7000,1,34
2023.04.14 12:26:00-PETZ3,2023.04.14 12:26:00,PETZ3,5.88,5.88,5.88,5.88,800,1,5
2023.04.14 12:26:00-PRIO3,2023.04.14 12:26:00,PRIO3,36.56,36.57,36.56,36.57,400,1,2
2023.04.14 12:26:00-QUAL3,2023.04.14 12:26:00,QUAL3,3.99,4.0,3.99,4.0,700,1,7
2023.04.14 12:26:00-RADL3,2023.04.14 12:26:00,RADL3,26.0,26.0,26.0,26.0,1000,1,8
2023.04.14 12:26:00-RAIL3,2023.04.14 12:26:00,RAIL3,19.08,19.09,19.08,19.09,900,1,5
2023.04.14 12:26:00-RAIZ4,2023.04.14 12:26:00,RAIZ4,2.99,3.0,2.99,2.99,2900,1,19
2023.04.14 12:17:00-RDOR3,2023.04.14 12:17:00,RDOR3,22.0,22.24,21.78,22.24,197900,1,115
2023.04.14 12:26:00-RENT3,2023.04.14 12:26:00,RENT3,57.84,57.85,57.79,57.83,3000,1,17
2023.04.14 12:26:00-RRRP3,2023.04.14 12:26:00,RRRP3,32.46,32.47,32.46,32.47,2200,1,5
2023.04.14 12:26:00-SANB11,2023.04.14 12:26:00,SANB11,27.44,27.45,27.44,27.45,1000,1,4
2023.04.14 12:26:00-SBSP3,2023.04.14 12:26:00,SBSP3,49.76,49.76,49.75,49.75,1900,1,10
2023.04.14 12:26:00-SLCE3,2023.04.14 12:26:00,SLCE3,45.17,45.17,45.15,45.15,300,1,2
2023.04.14 12:26:00-SMTO3,2023.04.14 12:26:00,SMTO3,28.52,28.53,28.52,28.52,700,1,5
2023.04.14 12:26:00-SOMA3,2023.04.14 12:26:00,SOMA3,8.17,8.17,8.15,8.15,15700,1,26
