ID,DateTime,Ticker,Open,High,Low,Close,RealVolume,Spread,TickVolume
2023.04.14 11:54:00-ABEV3,2023.04.14 11:54:00,ABEV3,14.64,14.64,14.63,14.64,18100,1,37
2023.04.14 11:54:00-ALPA4,2023.04.14 11:54:00,ALPA4,7.57,7.6,7.57,7.59,24100,1,40
2023.04.14 11:54:00-ALSO3,2023.04.14 11:54:00,ALSO3,18.52,18.53,18.5,18.51,7100,1,21
2023.04.14 11:54:00-ARZZ3,2023.04.14 11:54:00,ARZZ3,67.73,67.79,67.73,67.78,400,6,4
2023.04.14 11:54:00-ASAI3,2023.04.14 11:54:00,ASAI3,13.34,13.39,13.34,13.38,75100,1,64
2023.04.14 11:54:00-AZUL4,2023.04.14 11:54:00,AZUL4,11.74,11.74,11.73,11.73,1800,1,5
2023.04.14 11:54:00-B3SA3,2023.04.14 11:54:00,B3SA3,11.74,11.75,11.73,11.75,20000,1,62
2023.04.14 11:54:00-BBAS3,2023.04.14 11:54:00,BBAS3,43.06,43.09,43.03,43.07,24800,1,61
2023.04.14 11:54:00-BBDC3,2023.04.14 11:54:00,BBDC3,12.39,12.4,12.39,12.39,2900,1,8
2023.04.14 11:54:00-BBDC4,2023.04.14 11:54:00,BBDC4,13.83,13.84,13.83,13.84,13000,1,46
2023.04.14 11:54:00-BBSE3,2023.04.14 11:54:00,BBSE3,34.73,34.74,34.72,34.73,3600,1,10
2023.04.14 11:54:00-BEEF3,2023.04.14 11:54:00,BEEF3,9.37,9.38,9.36,9.36,21100,1,43
2023.04.14 11:54:00-BPAC11,2023.04.14 11:54:00,BPAC11,22.92,22.95,22.92,22.95,28400,1,30
2023.04.14 11:54:00-BPAN4,2023.04.14 11:54:00,BPAN4,5.48,5.49,5.48,5.49,1500,2,4
2023.04.14 11:54:00-BRAP4,2023.04.14 11:54:00,BRAP4,26.62,26.62,26.61,26.62,1800,1,10
2023.04.14 11:55:00-BRFS3,2023.04.14 11:55:00,BRFS3,6.09,6.09,6.08,6.08,60800,1,3
2023.04.14 11:54:00-BRKM5,2023.04.14 11:54:00,BRKM5,21.48,21.48,21.45,21.46,12200,1,31
