ID,DateTime,Ticker,Open,High,Low,Close,RealVolume,Spread,TickVolume
2023.04.14 12:14:00-ABEV3,2023.04.14 12:14:00,ABEV3,14.63,14.63,14.62,14.62,2400,1,13
2023.04.14 12:14:00-ALPA4,2023.04.14 12:14:00,ALPA4,7.57,7.57,7.5600000000000005,7.5600000000000005,4100,1,4
2023.04.14 12:14:00-ALSO3,2023.04.14 12:14:00,ALSO3,18.39,18.4,18.39,18.39,600,1,5
2023.04.14 12:14:00-ARZZ3,2023.04.14 12:14:00,ARZZ3,67.4,67.4,67.36,67.37,3500,2,6
2023.04.14 12:14:00-ASAI3,2023.04.14 12:14:00,ASAI3,13.37,13.39,13.31,13.32,204100,1,210
2023.04.14 12:14:00-AZUL4,2023.04.14 12:14:00,AZUL4,11.66,11.66,11.66,11.66,6900,1,4
2023.04.14 12:15:00-B3SA3,2023.04.14 12:15:00,B3SA3,11.73,11.73,11.73,11.73,200,1,1
2023.04.14 12:14:00-BBAS3,2023.04.14 12:14:00,BBAS3,42.85,42.86,42.79,42.84,349400,1,60
2023.04.14 12:14:00-BBDC3,2023.04.14 12:14:00,BBDC3,12.37,12.37,12.37,12.37,1700,1,1
2023.04.14 12:14:00-BBDC4,2023.04.14 12:14:00,BBDC4,13.79,13.79,13.78,13.79,5500,1,24
2023.04.14 12:14:00-BBSE3,2023.04.14 12:14:00,BBSE3,34.74,34.75,34.74,34.74,2500,1,10
2023.04.14 12:15:00-BEEF3,2023.04.14 12:15:00,BEEF3,9.36,9.37,9.36,9.37,200,1,2
2023.04.14 12:14:00-BPAC11,2023.04.14 12:14:00,BPAC11,22.93,22.93,22.9,22.91,6200,1,26
2023.04.14 12:14:00-BPAN4,2023.04.14 12:14:00,BPAN4,5.49,5.49,5.48,5.48,200,1,2
2023.04.14 12:14:00-BRAP4,2023.04.14 12:14:00,BRAP4,26.61,26.61,26.6,26.61,1600,1,11
2023.04.14 12:14:00-BRFS3,2023.04.14 12:14:00,BRFS3,6.06,6.06,6.05,6.05,4100,1,15
2023.04.14 12:15:00-BRKM5,2023.04.14 12:15:00,BRKM5,21.48,21.48,21.48,21.48,200,2,1
2023.04.14 12:14:00-CASH3,2023.04.14 12:14:00,CASH3,0.95,0.95,0.95,0.95,500,1,3
2023.04.14 12:14:00-CCRO3,2023.04.14 12:14:00,CCRO3,12.91,12.92,12.9,12.92,18200,1,15
2023.04.14 12:14:00-CIEL3,2023.04.14 12:14:00,CIEL3,5.03,5.04,5.03,5.03,28800,1,23
2023.04.14 12:14:00-CMIG4,2023.04.14 12:14:00,CMIG4,12.05,12.05,12.04,12.04,4700,1,35
2023.04.14 12:14:00-CMIN3,2023.04.14 12:14:00,CMIN3,4.75,4.75,4.74,4.74,200,1,2
2023.04.14 12:14:00-COGN3,2023.04.14 12:14:00,COGN3,2.02,2.02,2.01,2.01,2800,1,17
2023.04.14 12:14:00-CPFE3,2023.04.14 12:14:00,CPFE3,33.53,33.53,33.53,33.53,400,1,1
2023.04.14 12:14:00-CPLE6,2023.04.14 12:14:00,CPLE6,7.84,7.84,7.83,7.83,4800,1,4
2023.04.14 12:14:00-CRFB3,2023.04.14 12:14:00,CRFB3,11.02,11.02,11.0,11.0,19700,1,16
