ID,DateTime,Ticker,Open,High,Low,Close,RealVolume,Spread,TickVolume
2023.04.14 13:37:00-ABEV3,2023.04.14 13:37:00,ABEV3,14.67,14.69,14.67,14.67,5200,1,18
2023.04.14 13:38:00-ALPA4,2023.04.14 13:38:00,ALPA4,7.61,7.61,7.61,7.61,100,1,1
2023.04.14 13:37:00-ALSO3,2023.04.14 13:37:00,ALSO3,18.49,18.5,18.48,18.48,4100,1,19
2023.04.14 13:37:00-ARZZ3,2023.04.14 13:37:00,ARZZ3,67.6,67.6,67.51,67.57,300,6,3
2023.04.14 13:37:00-ASAI3,2023.04.14 13:37:00,ASAI3,13.29,13.31,13.28,13.28,23800,1,83
2023.04.14 13:37:00-AZUL4,2023.04.14 13:37:00,AZUL4,11.46,11.48,11.46,11.47,25300,1,20
2023.04.14 13:37:00-B3SA3,2023.04.14 13:37:00,B3SA3,11.9,11.93,11.9,11.92,112700,1,120
2023.04.14 13:37:00-BBAS3,2023.04.14 13:37:00,BBAS3,42.94,42.98,42.94,42.97,18400,1,45
2023.04.14 13:37:00-BBDC3,2023.04.14 13:37:00,BBDC3,12.41,12.41,12.41,12.41,7200,1,7
2023.04.14 13:37:00-BBDC4,2023.04.14 13:37:00,BBDC4,13.82,13.82,13.81,13.82,20800,1,50
2023.04.14 13:37:00-BBSE3,2023.04.14 13:37:00,BBSE3,34.77,34.77,34.76,34.77,1300,1,6
2023.04.14 13:37:00-BEEF3,2023.04.14 13:37:00,BEEF3,9.44,9.44,9.41,9.42,44100,1,33
2023.04.14 13:37:00-BPAC11,2023.04.14 13:37:00,BPAC11,22.93,22.96,22.93,22.95,10900,1,45
2023.04.14 13:37:00-BPAN4,2023.04.14 13:37:00,BPAN4,5.52,5.52,5.52,5.52,400,1,4
2023.04.14 13:37:00-BRAP4,2023.04.14 13:37:00,BRAP4,26.67,26.68,26.66,26.66,1700,1,6
2023.04.14 13:37:00-BRFS3,2023.04.14 13:37:00,BRFS3,6.11,6.11,6.08,6.08,148900,1,37
2023.04.14 13:37:00-BRKM5,2023.04.14 13:37:00,BRKM5,21.55,21.57,21.55,21.56,3000,1,16
2023.04.14 13:37:00-CASH3,2023.04.14 13:37:00,CASH3,0.96,0.96,0.96,0.96,4700,1,10
2023.04.14 13:37:00-CCRO3,2023.04.14 13:37:00,CCRO3,13.03,13.04,13.03,13.04,6100,1,16
2023.04.14 13:37:00-CIEL3,2023.04.14 13:37:00,CIEL3,5.05,5.05,5.04,5.05,4300,1,31
2023.04.14 13:37:00-CMIG4,2023.04.14 13:37:00,CMIG4,12.15,12.16,12.14,12.14,17700,1,23
2023.04.14 13:37:00-CMIN3,2023.04.14 13:37:00,CMIN3,4.78,4.79,4.78,4.78,4600,1,8
2023.04.14 13:37:00-COGN3,2023.04.14 13:37:00,COGN3,2.05,2.05,2.04,2.05,6200,1,22
2023.04.14 13:37:00-CPFE3,2023.04.14 13:37:00,CPFE3,33.64,33.66,33.62,33.62,4100,1,10
2023.04.14 13:37:00-CPLE6,2023.04.14 13:37:00,CPLE6,7.92,7.92,7.9,7.9,58100,1,16
2023.04.14 13:37:00-CRFB3,2023.04.14 13:37:00,CRFB3,11.02,11.02,10.99,10.99,18000,1,23
2023.04.14 13:37:00-CSAN3,2023.04.14 13:37:00,CSAN3,15.73,15.75,15.73,15.73,10500,1,23
2023.04.14 13:37:00-CSNA3,2023.04.14 13:37:00,CSNA3,14.63,14.63,14.6,14.6,32900,1,15
2023.04.14 13:37:00-CVCB3,2023.04.14 13:37:00,CVCB3,3.27,3.27,3.26,3.26,800,1,6
2023.04.14 13:37:00-CYRE3,2023.04.14 13:37:00,CYRE3,15.63,15.64,15.61,15.62,8200,1,23
2023.04.14 13:37:00-DXCO3,2023.04.14 13:37:00,DXCO3,6.13,6.13,6.11,6.12,6300,1,14
2023.04.14 13:37:00-ECOR3,2023.04.14 13:37:00,ECOR3,6.08,6.1,6.08,6.09,21400,1,22
2023.04.14 13:37:00-EGIE3,2023.04.14 13:37:00,EGIE3,40.89,40.91,40.89,40.89,2600,1,15
2023.04.14 13:37:00-ELET3,2023.04.14 13:37:00,ELET3,35.11,35.16,35.1,35.11,21800,1,38
2023.04.14 13:37:00-ELET6,2023.04.14 13:37:00,ELET6,38.77,38.81,38.77,38.79,1100,1,7
2023.04.14 13:37:00-EMBR3,2023.04.14 13:37:00,EMBR3,20.55,20.55,20.53,20.54,6600,1,15
2023.04.14 13:37:00-ENBR3,2023.04.14 13:37:00,ENBR3,22.18,22.19,22.18,22.19,6100,1,9
2023.04.14 13:37:00-ENEV3,2023.04.14 13:37:00,ENEV3,11.53,11.53,11.49,11.5,65900,1,27
2023.04.14 13:37:00-ENGI11,2023.04.14 13:37:00,ENGI11,43.46,43.5,43.46,43.49,6100,1,18
2023.04.14 13:37:00-EQTL3,2023.04.14 13:37:00,EQTL3,28.66,28.7,28.65,28.66,12500,1,31
2023.04.14 13:37:00-EZTC3,2023.04.14 13:37:00,EZTC3,15.12,15.13,15.11,15.11,2800,1,13
2023.04.14 13:37:00-FLRY3,2023.04.14 13:37:00,FLRY3,14.59,14.59,14.57,14.57,4200,1,11
2023.04.14 13:37:00-GGBR4,2023.04.14 13:37:00,GGBR4,26.19,26.2,26.17,26.18,13500,1,40
2023.04.14 13:37:00-GOAU4,2023.04.14 13:37:00,GOAU4,12.14,12.15,12.13,12.14,5500,1,26
2023.04.14 13:37:00-GOLL4,2023.04.14 13:37:00,GOLL4,6.99,6.99,6.98,6.98,1200,1,3
2023.04.14 13:37:00-HAPV3,2023.04.14 13:37:00,HAPV3,2.61,2.62,2.59,2.59,712800,1,52
2023.04.14 13:37:00-HYPE3,2023.04.14 13:37:00,HYPE3,37.53,37.54,37.52,37.52,4000,1,24
2023.04.14 13:37:00-IGTI11,2023.04.14 13:37:00,IGTI11,20.34,20.35,20.33,20.33,1900,1,14
2023.04.14 13:37:00-ITSA4,2023.04.14 13:37:00,ITSA4,8.7,8.7,8.69,8.7,7100,1,13
2023.04.14 13:37:00-ITUB4,2023.04.14 13:37:00,ITUB4,26.02,26.03,26.01,26.01,39200,1,94
2023.04.14 13:37:00-JBSS3,2023.04.14 13:37:00,JBSS3,16.6,16.61,16.58,16.58,7000,1,23
2023.04.14 13:37:00-KLBN11,2023.04.14 13:37:00,KLBN11,18.54,18.55,18.53,18.53,13500,1,12
2023.04.14 13:37:00-LREN3,2023.04.14 13:37:00,LREN3,16.52,16.53,16.5,16.5,10100,1,39
2023.04.14 13:37:00-LWSA3,2023.04.14 13:37:00,LWSA3,5.3,5.31,5.3,5.3,2700,1,8
2023.04.14 13:37:00-MGLU3,2023.04.14 13:37:00,MGLU3,3.77,3.7800000000000002,3.76,3.77,412200,1,24
2023.04.14 13:37:00-MRFG3,2023.04.14 13:37:00,MRFG3,6.11,6.11,6.1,6.11,151300,1,23
2023.04.14 13:37:00-MRVE3,2023.04.14 13:37:00,MRVE3,7.52,7.54,7.52,7.53,2300,1,12
2023.04.14 13:37:00-MULT3,2023.04.14 13:37:00,MULT3,25.95,25.95,25.94,25.94,1100,1,6
2023.04.14 13:37:00-NTCO3,2023.04.14 13:37:00,NTCO3,11.45,11.5,11.44,11.5,109800,1,50
2023.04.14 13:37:00-PCAR3,2023.04.14 13:37:00,PCAR3,14.8,14.81,14.8,14.8,600,1,4
2023.04.14 13:37:00-PETR3,2023.04.14 13:37:00,PETR3,29.63,29.65,29.62,29.63,10000,1,28
2023.04.14 13:37:00-PETR4,2023.04.14 13:37:00,PETR4,26.15,26.16,26.13,26.14,47500,1,71
2023.04.14 13:37:00-PETZ3,2023.04.14 13:37:00,PETZ3,5.85,5.87,5.85,5.87,9200,1,12
2023.04.14 13:37:00-PRIO3,2023.04.14 13:37:00,PRIO3,36.67,36.69,36.67,36.67,2500,1,14
2023.04.14 13:37:00-QUAL3,2023.04.14 13:37:00,QUAL3,4.0,4.0,3.99,3.99,29300,1,10
2023.04.14 13:37:00-RADL3,2023.04.14 13:37:00,RADL3,25.96,25.96,25.96,25.96,1100,1,5
2023.04.14 13:37:00-RAIL3,2023.04.14 13:37:00,RAIL3,19.06,19.08,19.06,19.06,8500,1,30
2023.04.14 13:37:00-RAIZ4,2023.04.14 13:37:00,RAIZ4,3.02,3.03,3.02,3.02,3300,1,23
2023.04.14 13:37:00-RDOR3,2023.04.14 13:37:00,RDOR3,22.07,22.11,22.07,22.08,63200,1,64
2023.04.14 13:37:00-RENT3,2023.04.14 13:37:00,RENT3,57.9,57.96,57.9,57.93,4100,1,19
2023.04.14 13:37:00-RRRP3,2023.04.14 13:37:00,RRRP3,32.35,32.37,32.34,32.35,2000,1,14
2023.04.14 13:37:00-SANB11,2023.04.14 13:37:00,SANB11,27.44,27.47,27.43,27.44,3000,1,18
2023.04.14 13:37:00-SBSP3,2023.04.14 13:37:00,SBSP3,49.78,49.8,49.77,49.77,4100,1,21
2023.04.14 13:37:00-SLCE3,2023.04.14 13:37:00,SLCE3,45.32,45.33,45.27,45.33,7800,1,18
2023.04.14 13:37:00-SMTO3,2023.04.14 13:37:00,SMTO3,28.66,28.72,28.65,28.71,6700,1,26
2023.04.14 13:37:00-SOMA3,2023.04.14 13:37:00,SOMA3,8.2,8.22,8.2,8.2,5700,1,28
2023.04.14 13:37:00-SUZB3,2023.04.14 13:37:00,SUZB3,40.72,40.74,40.68,40.7,7900,1,33
2023.04.14 13:37:00-TAEE11,2023.04.14 13:37:00,TAEE11,34.79,34.79,34.77,34.77,1400,1,9
2023.04.14 13:37:00-TIMS3,2023.04.14 13:37:00,TIMS3,13.59,13.6,13.58,13.59,16400,1,19
2023.04.14 13:37:00-TOTS3,2023.04.14 13:37:00,TOTS3,26.42,26.44,26.35,26.37,28500,1,99
2023.04.14 13:37:00-UGPA3,2023.04.14 13:37:00,UGPA3,14.8,14.81,14.8,14.8,8200,1,12
2023.04.14 13:37:00-USIM5,2023.04.14 13:37:00,USIM5,7.54,7.54,7.53,7.53,11100,1,8
2023.04.14 13:37:00-VALE3,2023.04.14 13:37:00,VALE3,79.04,79.08,79.0,79.01,14000,1,47
2023.04.14 13:37:00-VBBR3,2023.04.14 13:37:00,VBBR3,13.82,13.82,13.8,13.82,24500,1,24
2023.04.14 13:37:00-VIIA3,2023.04.14 13:37:00,VIIA3,1.99,2.0,1.99,1.99,6300,1,20
2023.04.14 13:37:00-VIVT3,2023.04.14 13:37:00,VIVT3,40.46,40.46,40.4,40.42,4900,1,27
2023.04.14 13:37:00-WEGE3,2023.04.14 13:37:00,WEGE3,38.89,38.92,38.87,38.87,5300,1,20
